geometry,address,site,description,first_part_location,second_part_location,extra_description,location
POINT (-71.133946325227 42.399970913492),"Massachusetts Ave & Brookford St, Cambridge, Massachusetts, 02140",P#001,"Massachusetts Ave@ Brookford St (solar power, city light pole)",Massachusetts Ave, Brookford St ,"solar power, city light pole","Massachusetts Ave &  Brookford St, Cambridge, MASS, USA"
POINT (-71.140467026802 42.394070011747),"Rindge Ave & Alewife Brook Pkwy, Cambridge, Massachusetts, 02140",P#002,"Rindge Ave @ Alewife Brook Pkwy (solar power, city traffic signal)",Rindge Ave , Alewife Brook Pkwy ,"solar power, city traffic signal","Rindge Ave  &  Alewife Brook Pkwy, Cambridge, MASS, USA"
POINT (-71.101321862592 42.373792595404),"Cambridge St & Hampshire St, Cambridge, Massachusetts, 02139",P#003,"Cambridge St @ Hampshire St (solar power, city light pole)",Cambridge St , Hampshire St ,"solar power, city light pole","Cambridge St  &  Hampshire St, Cambridge, MASS, USA"
POINT (-71.0952666081 42.363102190366),"Main St & Osborn St, Cambridge, Massachusetts, 02139",F#004,"Main St @ Osborn St WB (AC power, city light pole)",Main St , Osborn St WB ,"AC power, city light pole","Main St  &  Osborn St WB, Cambridge, MASS, USA"
POINT (-71.090938360938 42.367730719209),"Cardinal Medeiros Ave & Binney St, Cambridge, Massachusetts, 02141",P#005,"Cardinal Medeiros Ave@ Binney St (AC power, city light pole)",Cardinal Medeiros Ave, Binney St ,"AC power, city light pole","Cardinal Medeiros Ave &  Binney St, Cambridge, MASS, USA"
POINT (-71.089511258104 42.364746300673),"Galileo Galilei Way & Broadway, Cambridge, Massachusetts, 02142",P#006,"Galileo Galilei Way@ Broadway (solar power, city light pole)",Galileo Galilei Way, Broadway ,"solar power, city light pole","Galileo Galilei Way &  Broadway, Cambridge, MASS, USA"
POINT (-71.122455993259 42.369809012101),"Memorial Dr & JFK St, Cambridge, Massachusetts, 02138",P#007,"Memorial Dr@ JFK St (solar power, city light pole)",Memorial Dr, JFK St ,"solar power, city light pole","Memorial Dr &  JFK St, Cambridge, MASS, USA"
POINT (-71.125295027683 42.392580002729),"Rindge Ave & Pemberton St, Cambridge, Massachusetts, 02140",P#008,"Rindge Ave @ Pemberton St (solar power, city light pole)",Rindge Ave , Pemberton St ,"solar power, city light pole","Rindge Ave  &  Pemberton St, Cambridge, MASS, USA"
POINT (-71.092614490116 42.357292609456),"Massachusetts Ave & Memorial Dr, Cambridge, Massachusetts, 02139",P#009,"Massachusetts Ave @ Memorial Dr (AC power, city light pole)",Massachusetts Ave , Memorial Dr ,"AC power, city light pole","Massachusetts Ave  &  Memorial Dr, Cambridge, MASS, USA"
POINT (-71.094783978115 42.368766009979),"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)",Windsor St, Hampshire St ,"solar power, city light pole","Windsor St &  Hampshire St, Cambridge, MASS, USA"
POINT (-71.076934799122 42.370616985658),"Cambridge St & 1st St, Cambridge, Massachusetts, 02141",P#011,"Cambridge St@ N First St (AC power, city light pole)",Cambridge St, N First St ,"AC power, city light pole","Cambridge St &  N First St, Cambridge, MASS, USA"
POINT (-71.079697893504 42.371720002206),"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)",Third St , Gore St ,"solar power, surface wall mount","Third St  &  Gore St, Cambridge, MASS, USA"
POINT (-71.101321862592 42.373792595404),"Hampshire St & Cambridge St, Cambridge, Massachusetts, 02139",P#013,"Hampshire St@ Cambridge St (solar power, city light pole)",Hampshire St, Cambridge St ,"solar power, city light pole","Hampshire St &  Cambridge St, Cambridge, MASS, USA"
POINT (-71.082107774486 42.36209937947),"Main St & Broadway, Cambridge, Massachusetts, 02142",P#014,"Main St @ Broadway (solar power, city light pole)",Main St , Broadway ,"solar power, city light pole","Main St  &  Broadway, Cambridge, MASS, USA"
POINT (-71.082467022856 42.365612989462),"Binney St & 3rd St, Cambridge, Massachusetts, 02142",P#015,"Binney St@ Third St (AC power, city light pole)",Binney St, Third St ,"AC power, city light pole","Binney St &  Third St, Cambridge, MASS, USA"
POINT (-71.089511258104 42.364746300673),"Galileo Galilei Way & Broadway, Cambridge, Massachusetts, 02142",P#016,"Galileo Galilei Way@ Broadway (solar power, city light pole)",Galileo Galilei Way, Broadway ,"solar power, city light pole","Galileo Galilei Way &  Broadway, Cambridge, MASS, USA"
