P#001 Massachusetts Ave@ Brookford St (solar power, city light pole)
P#002 Rindge Ave @ Alewife Brook Pkwy (solar power, city traffic signal)
P#003 Cambridge St @ Hampshire St (solar power, city light pole)
F#004 Main St @ Osborn St WB (AC power, city light pole)
P#005 Cardinal Medeiros Ave@ Binney St (AC power, city light pole)
P#006 Galileo Galilei Way@ Broadway (solar power, city light pole)
P#007 Memorial Dr@ JFK St (solar power, city light pole)
P#008 Rindge Ave @ Pemberton St (solar power, city light pole)
P#009 Massachusetts Ave @ Memorial Dr (AC power, city light pole)
P#010 Windsor St@ Hampshire St (solar power, city light pole)
P#011 Cambridge St@ N First St (AC power, city light pole)
P#012 Third St @ Gore St (solar power, surface wall mount)
P#013 Hampshire St@ Cambridge St (solar power, city light pole)
P#014 Main St @ Broadway (solar power, city light pole)
P#015 Binney St@ Third St (AC power, city light pole)
P#016 Galileo Galilei Way@ Broadway (solar power, city light pole)
